channel1,channel2,channel3
119461,302140,389817
119463,302207,389654
119216,302075,389524
118872,301633,389425
118386,301548,389365
117981,301315,388981
117655,301172,388880
117477,301087,388673
117442,301006,388770
117350,301194,388773
117295,301231,388869
117282,301306,388975
117247,301344,389271
117241,301335,389111
117251,301378,389138
117279,301122,389123
117291,301161,388964
117267,301075,388775
117289,300921,388770
117245,300988,388674
117292,301062,388652
117331,301094,388790
117352,301254,388974
117435,301288,389007
117462,301401,389153
117574,301423,389150
117576,301377,389146
117663,301343,389160
117764,301177,389056
117831,301162,389048
117932,301230,388862
118002,301188,388718
118103,301200,388926
118224,301343,389084
118348,301390,389287
118452,301432,389215
118532,301529,389247
118604,301618,389373
118758,301613,389184
118785,301589,389321
118773,301378,389183
118536,301145,389057
118188,301078,388838
117778,300832,388875
117404,300795,388907
117113,300906,389057
116973,300904,389083
116882,301078,389178
116810,300929,389170
116739,300980,389140
116696,300878,388955
116700,300679,388871
116690,300728,388678
116766,300628,388607
116777,300528,388569
116820,300611,388781
116852,300664,388655
116868,300678,388938
116930,300877,389004
116944,300906,389139
116956,301095,389145
117006,300886,389031
117067,300776,388784
117178,300490,388473
117292,300719,388494
117413,300471,388168
117531,300394,388069
117660,300542,388151
117773,300499,388389
117930,300651,388250
118025,300838,388553
118198,300941,388503
118260,301048,388679
118380,301051,388493
118517,300963,388632
118623,301030,388527
118729,300935,388393
118836,300913,388414
118979,300938,388553
119127,300999,388674
119081,301190,388834
118875,301115,388825
118540,301068,388918
118150,300900,388855
117820,300839,388649
117587,300710,388381
117500,300447,388213
117428,300489,388142
117425,300437,388140
117496,300559,387971
117555,300511,388117
117639,300683,388289
117684,300866,388552
117782,301024,388792
117853,301216,388868
117929,301239,388720
117967,301223,388809
117958,301104,388741
118005,300958,388577
118056,300885,388692
118126,300941,388687
118212,300941,388667
118285,301006,388675
118365,301186,388949
118523,301359,388940
118611,301484,389087
118722,301521,389098
118826,301465,389092
118885,301388,389028
119031,301432,388860
119114,301352,388988
119214,301527,388907
119294,301359,388868
119385,301532,388955
119549,301576,389098
119623,301641,389194
119703,301631,389313
119860,301579,389343
119872,301645,389159
120030,301594,389148
120071,301468,389017
120035,301444,389092
119820,301269,388909
119405,301093,388939
118907,301054,388938
118504,300959,388939
118047,300796,388860
117868,300777,388961
117744,300765,388940
117658,300738,388855
117587,300667,388655
117566,300354,388612
117539,300395,388303
117546,300454,388214
117550,300462,388333
117651,300542,388330
117644,300465,388502
117614,300578,388556
117580,300720,388658
117607,300679,388902
117595,300582,388608
117529,300596,388586
117588,300485,388421
117640,300502,388303
117682,300265,388235
117753,300395,388125
117860,300425,388266
117995,300448,388301
118051,300434,388317
118166,300680,388515
118257,300609,388579
118351,300691,388760
118496,300732,388637
118533,300585,388464
118655,300705,388428
118796,300612,388174
118878,300594,388316
118963,300710,388241
119057,300781,388304
119207,300923,388431
119296,301022,388599
119380,300924,388727
119276,300912,388699
116565,299879,387879
116664,300100,387999
116646,300031,387861
116644,299925,387585
116633,299884,387630
116668,299858,387570
116710,299756,387409
116717,299845,387551
116840,300009,387712
116884,300153,387682
117059,300049,387775
117160,300065,387626
117225,300108,387559
117398,300109,387466
117457,299979,387607
117589,299994,387362
117754,299994,387224
117844,299913,387283
117973,300014,387337
118054,300116,387358
118188,300161,387365
